Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  1.482775e+02   9.772719e-06   1.089278e-05 
  1.483271e+02   9.772719e-06   1.089278e-05 
  1.483271e+02   9.772719e-06   1.089278e-05 
  1.486521e+02   9.772719e-06   1.089278e-05 
  1.488021e+02   9.772712e-06   1.089458e-05 
  1.488021e+02   9.772712e-06   1.089458e-05 
  1.488021e+02   9.772712e-06   1.089458e-05 
  1.488021e+02   9.772721e-06   1.089458e-05 
  1.488021e+02   9.772721e-06   1.089424e-05 
  1.491271e+02   9.772721e-06   1.089424e-05 
  1.491766e+02   9.772721e-06   1.089424e-05 
  1.522207e+02   9.772713e-06   1.089424e-05 
  1.522702e+02   9.772713e-06   1.089424e-05 
  1.523811e+02   9.772713e-06   1.089424e-05 
  1.524306e+02   9.772713e-06   1.089424e-05 
  1.554747e+02   9.772702e-06   1.089423e-05 
  1.555242e+02   9.772702e-06   1.089423e-05 
  1.555242e+02   9.772702e-06   1.089423e-05 
  1.560242e+02   9.772702e-06   1.089423e-05 
  1.560738e+02   9.772702e-06   1.089423e-05 
  1.591179e+02   9.772689e-06   1.089423e-05 
  1.591674e+02   9.772689e-06   1.089423e-05 
  1.592783e+02   9.772689e-06   1.089423e-05 
  1.593278e+02   9.772689e-06   1.089423e-05 
  1.623719e+02   9.772673e-06   1.089422e-05 
  1.624214e+02   9.772673e-06   1.089422e-05 
  1.624214e+02   9.772673e-06   1.089422e-05 
  1.627464e+02   9.772673e-06   1.089422e-05 
  1.627464e+02   9.772673e-06   1.089422e-05 
  1.637464e+02   9.772673e-06   1.089422e-05 
  1.638964e+02   9.780615e-06   1.089815e-05 
  1.638964e+02   9.780615e-06   1.089815e-05 
  1.638964e+02   9.781246e-06   1.089815e-05 
  1.638964e+02   9.781246e-06   1.089841e-05 
  1.651464e+02   9.781246e-06   1.089841e-05 
  1.652964e+02   9.773510e-06   1.089660e-05 
  1.658464e+02   9.773510e-06   1.089660e-05 
  1.658464e+02   9.773510e-06   1.089660e-05 
  1.713464e+02   9.773510e-06   1.089660e-05 
  1.713464e+02   9.773510e-06   1.089660e-05 
  1.768464e+02   9.773510e-06   1.089660e-05 
  1.768464e+02   9.773510e-06   1.089660e-05 
  1.773464e+02   9.773510e-06   1.089660e-05 
  1.774964e+02   9.772734e-06   1.088930e-05 
  1.787964e+02   9.772734e-06   1.088930e-05 
  1.789464e+02   9.773397e-06   1.089183e-05 
  1.789464e+02   9.773397e-06   1.089183e-05 
  1.789464e+02   9.774225e-06   1.089183e-05 
  1.789464e+02   9.774225e-06   1.089158e-05 
  1.805214e+02   9.774225e-06   1.089158e-05 
  1.805214e+02   9.774225e-06   1.089158e-05 
  1.807214e+02   9.774225e-06   1.089158e-05 
  1.807214e+02   9.774225e-06   1.089158e-05 
  1.809214e+02   9.774225e-06   1.089158e-05 
  1.809214e+02   9.774225e-06   1.089158e-05 
  1.812214e+02   9.858717e-06   1.091590e-05 
  1.815214e+02   9.858717e-06   1.091590e-05 
  1.818214e+02   9.813462e-06   1.089100e-05 
  1.818214e+02   9.813462e-06   1.089100e-05 
  1.818214e+02   9.814380e-06   1.089100e-05 
  1.818214e+02   9.814380e-06   1.089173e-05 
  1.822714e+02   9.814380e-06   1.089173e-05 
  1.842714e+02   1.313868e-04   1.089208e-05 
  1.863994e+02   1.313868e-04   1.089208e-05 
  1.866994e+02   1.313868e-04   1.089208e-05 
  1.869994e+02   2.056472e-04   1.088531e-05 
  1.871994e+02   2.056472e-04   1.088531e-05 
  1.871994e+02   2.056472e-04   1.088531e-05 
  1.874664e+02   2.056472e-04   1.088531e-05 
  1.877664e+02   1.744484e-04   1.090421e-05 
  1.877664e+02   1.744484e-04   1.090421e-05 
  1.877664e+02   1.746522e-04   1.090421e-05 
  1.877664e+02   1.746522e-04   1.090574e-05 
  1.927164e+02   1.746522e-04   1.090574e-05 
  1.947164e+02   2.153886e-04   1.090572e-05 
  1.996664e+02   2.153886e-04   1.090572e-05 
  1.999664e+02   2.395822e-04   1.094243e-05 
  1.999664e+02   2.395822e-04   1.094243e-05 
  1.999664e+02   2.392531e-04   1.094243e-05 
  1.999664e+02   2.392531e-04   1.094098e-05 
  2.002334e+02   2.392531e-04   1.094098e-05 
  2.002334e+02   1.258302e-04   1.091861e-05 
  2.004334e+02   1.258302e-04   1.091861e-05 
  2.007334e+02   1.056890e-04   1.090356e-05 
  2.010334e+02   1.056890e-04   1.090356e-05 
  2.010334e+02   1.056890e-04   1.090356e-05 
  2.031614e+02   1.056890e-04   1.090356e-05 
  2.051614e+02   1.093658e-05   1.090456e-05 
  2.056114e+02   1.093658e-05   1.090456e-05 
  2.059114e+02   1.093007e-05   1.095896e-05 
  2.059114e+02   1.093007e-05   1.095896e-05 
  2.059114e+02   1.091314e-05   1.095896e-05 
  2.059114e+02   1.091314e-05   1.095876e-05 
  2.062114e+02   1.091314e-05   1.095876e-05 
  2.065114e+02   1.106420e-05   1.091867e-05 
  2.065114e+02   1.106420e-05   1.091867e-05 
  2.069864e+02   1.106420e-05   1.091867e-05 
  2.071364e+02   1.113878e-05   1.091253e-05 
  2.081864e+02   1.113878e-05   1.091253e-05 
  2.083364e+02   1.106589e-05   1.092439e-05 
  2.083364e+02   1.106589e-05   1.092439e-05 
  2.083364e+02   1.106578e-05   1.092439e-05 
  2.083364e+02   1.106578e-05   1.092418e-05 
  2.093864e+02   1.106578e-05   1.092418e-05 
  2.095364e+02   1.107636e-05   1.092260e-05 
  2.100864e+02   1.107636e-05   1.092260e-05 
  2.146224e+02   1.107636e-05   1.092260e-05 
  2.146224e+02   1.107636e-05   1.092260e-05 
  2.148224e+02   1.107636e-05   1.092260e-05 
  2.149724e+02   1.105189e-05   1.092470e-05 
  2.158224e+02   1.105189e-05   1.092470e-05 
  2.158974e+02   1.107666e-05   1.092325e-05 
  2.158974e+02   1.107666e-05   1.092325e-05 
  2.158974e+02   1.107666e-05   1.092325e-05 
  2.158974e+02   1.107749e-05   1.092325e-05 
  2.158974e+02   1.107749e-05   1.092312e-05 
  2.159724e+02   1.110322e-05   1.092170e-05 
  2.280224e+02   1.110322e-05   1.092170e-05 
  2.281724e+02   1.109369e-05   1.092023e-05 
  2.281724e+02   1.109369e-05   1.092023e-05 
  2.281724e+02   1.109412e-05   1.092023e-05 
  2.281724e+02   1.109412e-05   1.092007e-05 
  2.402224e+02   1.109412e-05   1.092007e-05 
  2.403724e+02   1.107246e-05   1.092125e-05 
  2.403724e+02   1.107246e-05   1.092125e-05 
  2.403724e+02   1.106932e-05   1.092125e-05 
  2.403724e+02   1.106932e-05   1.092126e-05 
  2.524224e+02   1.106932e-05   1.092126e-05 
  2.525724e+02   1.108035e-05   1.092878e-05 
  2.525724e+02   1.108035e-05   1.092878e-05 
