Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  1.999664e+02   8.088956e-05  -9.034093e-07 
  1.999664e+02   8.088956e-05  -9.034093e-07 
  1.999664e+02   8.088956e-05  -9.034093e-07 
  1.999664e+02   8.088956e-05  -9.034093e-07 
  2.002334e+02   9.488374e-05  -7.565934e-07 
  2.002334e+02   1.837211e-04  -1.203911e-06 
  2.004334e+02   2.065246e-04  -1.038117e-06 
  2.007334e+02   2.140126e-04  -9.131725e-07 
  2.010334e+02   1.944709e-04  -9.067076e-07 
  2.010334e+02   1.944709e-04  -9.067076e-07 
  2.031614e+02   5.585520e-05  -8.608501e-07 
  2.051614e+02  -7.490816e-05  -7.969673e-07 
  2.056114e+02  -1.050083e-04  -7.782700e-07 
  2.059114e+02  -1.351655e-04  -6.987687e-07 
  2.059114e+02  -1.351655e-04  -6.987687e-07 
  2.059114e+02  -1.351655e-04  -6.987687e-07 
  2.059114e+02  -1.351655e-04  -6.987687e-07 
  2.062114e+02  -1.763052e-04  -5.545758e-07 
  2.065114e+02  -1.980072e-04  -4.632620e-07 
  2.065114e+02  -1.980072e-04  -4.632620e-07 
  2.069864e+02  -2.003965e-04  -3.974564e-07 
  2.071364e+02  -1.990154e-04  -3.807762e-07 
  2.081864e+02  -1.744316e-04  -2.923037e-07 
  2.083364e+02  -1.733603e-04  -2.757280e-07 
  2.083364e+02  -1.733603e-04  -2.757280e-07 
  2.083364e+02  -1.733603e-04  -2.757280e-07 
  2.083364e+02  -1.733603e-04  -2.757280e-07 
  2.093864e+02  -1.829104e-04  -1.326838e-07 
  2.095364e+02  -1.839084e-04  -1.124878e-07 
  2.100864e+02  -1.862217e-04  -3.926216e-08 
  2.146224e+02  -2.053005e-04   5.646495e-07 
  2.146224e+02  -2.053005e-04   5.646495e-07 
  2.148224e+02  -2.061417e-04   5.912770e-07 
  2.149724e+02  -2.076038e-04   6.088289e-07 
  2.158224e+02  -2.206101e-04   6.944506e-07 
  2.158974e+02  -2.213475e-04   7.033050e-07 
  2.158974e+02  -2.213475e-04   7.033050e-07 
  2.158974e+02  -2.213475e-04   7.033050e-07 
  2.158974e+02  -2.213475e-04   7.033050e-07 
  2.158974e+02  -2.213475e-04   7.033050e-07 
  2.159724e+02  -2.212631e-04   7.147819e-07 
  2.280224e+02  -1.416665e-04   2.771553e-06 
  2.281724e+02  -1.417260e-04   2.776556e-06 
  2.281724e+02  -1.417260e-04   2.776556e-06 
  2.281724e+02  -1.417260e-04   2.776556e-06 
  2.281724e+02  -1.417260e-04   2.776556e-06 
  2.402224e+02  -2.309009e-04   1.522527e-06 
  2.403724e+02  -2.302975e-04   1.518162e-06 
  2.403724e+02  -2.302975e-04   1.518162e-06 
  2.403724e+02  -2.302975e-04   1.518162e-06 
  2.403724e+02  -2.302975e-04   1.518162e-06 
  2.524224e+02  -4.430336e-05   2.070054e-06 
  2.525724e+02  -4.231073e-05   2.061650e-06 
  2.525724e+02  -4.231073e-05   2.061650e-06 
  2.525724e+02  -4.231073e-05   2.061650e-06 
  2.525724e+02  -4.231073e-05   2.061650e-06 
  2.646224e+02   9.224105e-05   1.611437e-07 
  2.647724e+02   9.322631e-05   1.385848e-07 
  2.647724e+02   9.322631e-05   1.385848e-07 
  2.647724e+02   9.322631e-05   1.385848e-07 
  2.647724e+02   9.322631e-05   1.385848e-07 
  2.768224e+02   1.167765e-04  -1.589849e-06 
  2.769724e+02   1.179387e-04  -1.599487e-06 
  2.769724e+02   1.179387e-04  -1.599487e-06 
  2.769724e+02   1.179387e-04  -1.599487e-06 
  2.769724e+02   1.179387e-04  -1.599487e-06 
  2.890224e+02   2.813469e-04  -1.417517e-06 
  2.891724e+02   2.812905e-04  -1.425772e-06 
  2.891724e+02   2.812905e-04  -1.425772e-06 
  2.891724e+02   2.812905e-04  -1.425772e-06 
  2.891724e+02   2.812905e-04  -1.425772e-06 
  2.919350e+02   2.417518e-04  -1.771924e-06 
  2.922100e+02   2.378159e-04  -1.806382e-06 
  2.925100e+02   2.171384e-04  -1.972808e-06 
  2.928100e+02   1.805617e-04  -2.271942e-06 
  2.931100e+02   1.633780e-04  -2.308504e-06 
  2.931100e+02   1.633780e-04  -2.308504e-06 
  2.931100e+02   1.633780e-04  -2.308504e-06 
  2.931100e+02   1.633780e-04  -2.308504e-06 
  2.948850e+02   1.726352e-04  -9.631261e-07 
  2.950350e+02   1.735256e-04  -8.488548e-07 
  2.950350e+02   1.735256e-04  -8.488548e-07 
  2.950350e+02   1.735256e-04  -8.488548e-07 
  2.950350e+02   1.735256e-04  -8.488548e-07 
  2.956600e+02   1.776873e-04  -3.704179e-07 
  2.956600e+02   1.776873e-04  -3.704179e-07 
  2.958600e+02   1.790191e-04  -2.173180e-07 
  2.958600e+02   1.790191e-04  -2.173180e-07 
  2.960600e+02   1.803508e-04  -6.421821e-08 
  2.963600e+02   1.624127e-04   1.668914e-07 
  2.966600e+02   1.252123e-04   4.080677e-07 
  2.969600e+02   1.058801e-04   5.755780e-07 
  2.969600e+02   1.058801e-04   5.755780e-07 
  2.969600e+02   1.058801e-04   5.755780e-07 
  2.969600e+02   1.058801e-04   5.755780e-07 
  2.972600e+02   1.034270e-04   6.607756e-07 
  2.972600e+02   1.034270e-04   6.607756e-07 
  2.987600e+02   9.050068e-05   1.086976e-06 
  3.007850e+02   7.628608e-05   1.617692e-06 
  3.009350e+02   7.423776e-05   1.677703e-06 
  3.009350e+02   7.423776e-05   1.677703e-06 
  3.009350e+02   7.423776e-05   1.677703e-06 
  3.009350e+02   7.423776e-05   1.677703e-06 
  3.013600e+02   6.563716e-05   1.907093e-06 
  3.040871e+02   3.864126e-06   8.729786e-06 
  3.048871e+02  -1.446747e-05   1.348087e-05 
  3.051871e+02  -2.302584e-05   1.273203e-05 
  3.051871e+02  -2.302584e-05   1.273203e-05 
  3.051871e+02  -2.302584e-05   1.273203e-05 
  3.051871e+02  -2.302584e-05   1.273203e-05 
