Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  1.206133e+02   4.565904e+01   2.016871e+00  -4.712350e-04   1.281882e-05 
  1.206133e+02   4.565904e+01   2.016871e+00  -4.712350e-04   1.777675e-05 
  1.209383e+02   4.435980e+01   1.980798e+00  -4.654576e-04   1.777675e-05 
  1.209879e+02   4.416391e+01   1.975303e+00  -4.645774e-04   1.777675e-05 
  1.240320e+02   3.315505e+01   1.640742e+00  -4.034051e-04   1.742137e-05 
  1.240815e+02   3.299284e+01   1.635228e+00  -4.025425e-04   1.742137e-05 
  1.241924e+02   3.263145e+01   1.622877e+00  -4.006101e-04   1.742137e-05 
  1.242419e+02   3.247101e+01   1.617363e+00  -3.997475e-04   1.742137e-05 
  1.272860e+02   2.364846e+01   1.280575e+00  -3.409708e-04   1.707952e-05 
  1.273355e+02   2.352192e+01   1.275048e+00  -3.401251e-04   1.707952e-05 
  1.273355e+02   2.352192e+01   1.275048e+00  -3.401251e-04   1.707952e-05 
  1.278355e+02   2.227478e+01   1.219233e+00  -3.315853e-04   1.707952e-05 
  1.278850e+02   2.215431e+01   1.213706e+00  -3.307397e-04   1.707952e-05 
  1.309291e+02   1.579468e+01   8.752538e-01  -2.743003e-04   1.675019e-05 
  1.309786e+02   1.570828e+01   8.697173e-01  -2.734709e-04   1.675019e-05 
  1.310896e+02   1.551672e+01   8.573149e-01  -2.716130e-04   1.675019e-05 
  1.311391e+02   1.543209e+01   8.517784e-01  -2.707836e-04   1.675019e-05 
  1.341832e+02   1.127930e+01   5.123074e-01  -2.164188e-04   1.643322e-05 
  1.342327e+02   1.122884e+01   5.067653e-01  -2.156051e-04   1.643322e-05 
  1.342327e+02   1.122884e+01   5.067653e-01  -2.156051e-04   1.643322e-05 
  1.345577e+02   1.091126e+01   4.703890e-01  -2.102643e-04   1.643322e-05 
  1.347077e+02   1.091476e+01  -4.938006e-01  -2.087613e-04   3.640453e-06 
  1.347077e+02   1.091476e+01  -4.938006e-01  -2.087613e-04   3.640453e-06 
  1.347077e+02   1.091476e+01  -4.938006e-01  -2.087613e-04   3.640453e-06 
  1.347077e+02   1.091476e+01  -4.938006e-01  -2.087613e-04  -6.517320e-06 
  1.350327e+02   1.124777e+01  -5.308374e-01  -2.108794e-04  -6.517320e-06 
  1.350822e+02   1.130061e+01  -5.364801e-01  -2.112021e-04  -6.517320e-06 
  1.381263e+02   1.561952e+01  -8.821997e-01  -2.273848e-04  -6.331037e-06 
  1.381758e+02   1.570717e+01  -8.878370e-01  -2.276983e-04  -6.331037e-06 
  1.382867e+02   1.590553e+01  -9.004652e-01  -2.284005e-04  -6.331037e-06 
  1.383363e+02   1.599498e+01  -9.061025e-01  -2.287140e-04  -6.331037e-06 
  1.413804e+02   2.256201e+01  -1.251051e+00  -2.441892e-04  -6.154332e-06 
  1.414299e+02   2.268618e+01  -1.256680e+00  -2.444939e-04  -6.154332e-06 
  1.414299e+02   2.268618e+01  -1.256680e+00  -2.444939e-04  -6.154332e-06 
  1.419299e+02   2.397128e+01  -1.313526e+00  -2.475711e-04  -6.154332e-06 
  1.419794e+02   2.410164e+01  -1.319156e+00  -2.478758e-04  -6.154332e-06 
  1.450235e+02   3.318016e+01  -1.662986e+00  -2.626564e-04  -5.986440e-06 
  1.450730e+02   3.334512e+01  -1.668606e+00  -2.629528e-04  -5.986440e-06 
  1.451839e+02   3.371668e+01  -1.681194e+00  -2.636169e-04  -5.986440e-06 
  1.452334e+02   3.388345e+01  -1.686813e+00  -2.639133e-04  -5.986440e-06 
  1.482775e+02   4.519653e+01  -2.029363e+00  -2.780782e-04  -5.826776e-06 
  1.483271e+02   4.539778e+01  -2.034971e+00  -2.783668e-04  -5.826776e-06 
  1.483271e+02   4.539778e+01  -2.034971e+00  -2.783668e-04  -5.826776e-06 
  1.486521e+02   4.673247e+01  -2.071775e+00  -2.802605e-04  -5.826776e-06 
  1.488021e+02   4.674264e+01   2.004265e+00  -2.798202e-04   1.170224e-05 
  1.488021e+02   4.674264e+01   2.004265e+00  -2.798202e-04   1.170224e-05 
  1.488021e+02   4.674264e+01   2.004265e+00  -2.798202e-04   1.170224e-05 
  1.488021e+02   4.674264e+01   2.004265e+00  -2.798202e-04   1.170224e-05 
  1.488021e+02   4.674264e+01   2.004265e+00  -2.798202e-04   2.069650e-05 
  1.491271e+02   4.545121e+01   1.969382e+00  -2.730939e-04   2.069650e-05 
  1.491766e+02   4.525644e+01   1.964067e+00  -2.720691e-04   2.069650e-05 
  1.522207e+02   3.428631e+01   1.639420e+00  -2.062021e-04   2.042978e-05 
  1.522702e+02   3.412423e+01   1.634094e+00  -2.051905e-04   2.042978e-05 
  1.523811e+02   3.376304e+01   1.622164e+00  -2.029245e-04   2.042978e-05 
